                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.009,                 3.8158,                 2.2248,                0.00573,                0.60325,                0.12179,                0.04755,                 1.7626,                 3.7257,                 2.0493,             0.00034296,             0.00034296,             0.00034296
                      2,                 1.8382,                 2.8248,                 2.0136,                 0.0082,                0.65976,                0.19866,                 0.0733,                 1.8134,                  3.622,                 2.1503,             0.00063089,             0.00063089,             0.00063089
                      3,                 1.8212,                 2.5698,                 1.9922,                0.43669,                0.07063,                0.11485,                0.03343,                 2.2413,                 3.5141,                 2.5736,             0.00084808,             0.00084808,             0.00084808
